date,Price,adj_close,close,high,low,open,volume,elapsed_time,price_change,price_trend,volume_change,high_low_spread
05-06-2023,1867,178.22872924804688,179.5800018310547,184.9499969482422,178.0399932861328,182.6300048828125,121946500,65016,-0.75711254,0,96.85967917166431,3.8811525065630197
06-06-2023,1868,177.8614959716797,179.2100067138672,180.1199951171875,177.42999267578125,179.97000122070312,64848400,65040,-0.206033586,0,-46.82225402,1.516092291296943
07-06-2023,1869,176.48199462890625,177.82000732421875,181.2100067138672,177.32000732421875,178.44000244140625,61944600,65064,-0.77562599,0,-4.477828289,2.1937735331444084
08-06-2023,1870,179.21128845214844,180.57000732421875,180.83999633789065,177.4600067138672,177.89999389648438,50214900,65088,1.546507640721173,1,-18.93579101,1.9046486510469318
09-06-2023,1871,179.59832763671875,180.9600067138672,182.22999572753903,180.6300048828125,181.5,48870700,65112,0.2159823746078704,1,-2.676894707,0.8857835362206637
12-06-2023,1872,182.4070281982422,183.7899932861328,183.88999938964844,180.97000122070312,181.27000427246097,54274900,65184,1.5638740424785524,1,11.058159592557493,1.6135260812559813
13-06-2023,1873,181.9306641,183.30999755859375,184.1499938964844,182.44000244140625,182.8000030517578,54929100,65208,-0.261165322,0,1.2053453806455616,0.9372897567392582
14-06-2023,1874,182.5658416748047,183.9499969482422,184.38999938964844,182.02000427246097,183.3699951171875,57462900,65232,0.3491350161869189,1,4.612855480974565,1.302052006
15-06-2023,1875,184.61033630371097,186.0099945068359,186.52000427246097,183.77999877929688,183.9600067138672,65433200,65256,1.1198682211304156,1,13.87034068938393,1.4909160471018335
16-06-2023,1876,183.52853393554688,184.9199981689453,186.9900054931641,184.27000427246097,186.72999572753903,101235600,65280,-0.585988049,0,54.71595459185856,1.476095489031053
20-06-2023,1877,183.61785888671875,185.0099945068359,186.1000061035156,184.41000366210935,184.41000366210935,49799100,65376,0.048667715,1,-50.80870761,0.9164375076434609
21-06-2023,1878,182.5757751464844,183.9600067138672,185.41000366210935,182.58999633789065,184.8999938964844,49515700,65400,-0.567530309,0,-0.56908659,1.5444478781850393
22-06-2023,1879,185.59288024902344,187,187.0500030517578,183.6699981689453,183.7400054931641,51245300,65424,1.6525294494369236,1,3.4930335227008724,1.8402596594482827
23-06-2023,1880,185.2752990722656,186.67999267578125,187.55999755859375,185.0099945068359,185.5500030517578,53079300,65448,-0.171126911,0,3.5788647934542395,1.3783055658993717
26-06-2023,1881,183.8759002685547,185.27000427246097,188.0500030517578,185.22999572753903,186.8300018310547,48088700,65520,-0.75529701,0,-9.402158657,1.5224355607969786
27-06-2023,1882,186.6448974609375,188.05999755859375,188.38999938964844,185.6699981689453,185.88999938964844,50730800,65544,1.5059066345298744,1,5.494222135345717,1.4649653942626395
28-06-2023,1883,187.82595825195312,189.25,189.8999938964844,187.6000061035156,187.92999267578125,51216800,65568,0.6327780797909854,1,0.9579979026548058,1.2260062463429235
29-06-2023,1884,188.1634063720703,189.58999633789065,190.07000732421875,188.94000244140625,189.0800018310547,46347300,65592,0.1796546039052327,1,-9.507622499,0.5980760390658592
30-06-2023,1885,192.5104522705078,193.97000122070312,194.47999572753903,191.2599945068359,191.6300048828125,85069600,65616,2.3102510509079632,1,83.54812470197832,1.683572787401726
03-07-2023,1886,191.0118103027344,192.4600067138672,193.8800048828125,191.7599945068359,193.77999877929688,31458200,65688,-0.778468061,0,-63.02063252,1.1055540450075556
05-07-2023,1887,189.8903045654297,191.3300018310547,192.97999572753903,190.6199951171875,191.57000732421875,46920300,65736,-0.587137506,0,49.15125468081454,1.238065612634538
06-07-2023,1888,190.3666992,191.80999755859375,192.02000427246097,189.1999969482422,189.83999633789065,45094300,65760,0.2508732153585047,1,-3.891705722,1.490490153120998
07-07-2023,1889,189.24517822265625,190.67999267578125,192.6699981689453,190.2400054931641,191.41000366210935,46778000,65784,-0.589127208,0,3.733731314157218,1.2773300071569536
10-07-2023,1890,187.19078063964844,188.61000061035156,189.9900054931641,187.0399932861328,189.2599945068359,59922200,65856,-1.085584301,0,28.099106417546714,1.5772093204250521
11-07-2023,1891,186.66476440429688,188.0800018310547,189.3000030517578,186.6000061035156,189.16000366210935,46638100,65880,-0.28100248,0,-22.16891236,1.446943654838041
12-07-2023,1892,188.342041,189.77000427246097,191.6999969482422,188.47000122070312,189.67999267578125,60750200,65904,0.8985550962107736,1,30.258736955407706,1.7137983268523758
13-07-2023,1893,189.10623168945312,190.5399932861328,191.19000244140625,189.77999877929688,190.5,41342300,65928,0.4057485357729984,1,-31.94705532,0.7429674734844569
